City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
252,Saint-Paul,RE,75.29,few clouds,-21.0096,55.2707,Boucan Canot
255,Price,US,81.66,clear sky,39.5994,-110.8107,National 9 - Price River Inn
256,Tual,ID,81.3,broken clouds,-5.6667,132.75,Grand Vilia Hotel
269,Griffith,US,79.05,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
270,Mitsamiouli,KM,79.11,clear sky,-11.3847,43.2844,Foyer ADM
272,Itarema,BR,75.63,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
277,Faanui,PF,81.59,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
285,Takoradi,GH,78.37,moderate rain,4.8845,-1.7554,Raybow International Hotel
289,Carnarvon,AU,77.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
290,Sinnamary,GF,76.41,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
292,Cockburn Town,TC,79.79,clear sky,21.4612,-71.1419,Osprey Beach Hotel
294,Kloulklubed,PW,79.3,light rain,7.0419,134.2556,Storyboard Beach Resort
295,Sambava,MG,75.51,scattered clouds,-14.2667,50.1667,Melrose
319,Puerto Escondido,MX,81.77,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
320,Port Hedland,AU,87.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
322,Emerald,AU,75.34,clear sky,-23.5333,148.1667,The Irish Village
324,Bandarbeyla,SO,84.52,clear sky,9.4942,50.8122,JABIR HOTEL
325,Basud,PH,86.49,overcast clouds,14.065,122.9642,Nathaniel Hotel
333,Loa Janan,ID,77.34,light rain,-0.583,117.095,Pondok hijau 2A
334,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
335,Borzya,RU,83.1,clear sky,50.3833,116.5167,Tikhiy
337,Tupik,RU,82.04,broken clouds,54.4253,119.9327,Guest House Orkhideya
340,Dawei,MM,76.46,overcast clouds,14.0833,98.2,Hotel Dawei
344,Jiangyou,CN,85.68,light rain,31.7667,104.7167,Shangping Shuyuan Inn
358,Chengde,CN,75.09,overcast clouds,40.9725,117.9361,Super 8 Hotel
359,Linden,GY,75.34,overcast clouds,6.0,-58.3,Crimson Bat Hotel
362,Kashi,CN,87.01,few clouds,39.4547,75.9797,帕米尔青年旅舍
369,Bilma,NE,85.17,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
