City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Honningsvag,NO,70.9821,25.9704,44.35,65,0,11.5,clear sky,2021-06-07 04:46:55
60,Hobart,AU,-42.8794,147.3294,64.26,45,75,8.99,broken clouds,2021-06-07 04:44:43
61,Castro,BR,-24.7911,-50.0119,56.59,96,99,8.7,heavy intensity rain,2021-06-07 04:46:55
62,Port Elizabeth,ZA,-33.918,25.5701,55.69,41,0,3.44,clear sky,2021-06-07 04:46:50
63,Sompeta,IN,18.9333,84.6,95.85,52,93,9.26,overcast clouds,2021-06-07 04:46:56
64,Fergus Falls,US,46.283,-96.0776,73.38,33,1,6.91,clear sky,2021-06-07 04:46:56
65,Russell,US,32.3502,-85.1999,74.16,88,75,3.69,broken clouds,2021-06-07 04:45:49
66,Narsaq,GL,60.9167,-46.05,55.62,72,100,3.15,overcast clouds,2021-06-07 04:46:56
67,Aquiraz,BR,-3.9014,-38.3911,78.89,88,23,6.96,few clouds,2021-06-07 04:46:57
68,Iracoubo,GF,5.4802,-53.2011,76.23,90,100,5.26,overcast clouds,2021-06-07 04:46:57
69,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.64,89,100,8.59,overcast clouds,2021-06-07 04:46:57
70,Krasnoselkup,RU,65.7,82.4667,39.63,59,96,11.7,overcast clouds,2021-06-07 04:46:57
71,Dauriya,RU,49.9333,116.8667,82.27,17,0,17.22,clear sky,2021-06-07 04:46:58
72,Allen,US,41.0706,-85.0144,75.31,77,20,10.58,few clouds,2021-06-07 04:46:58
73,Chuy,UY,-33.6971,-53.4616,50.54,79,28,5.93,scattered clouds,2021-06-07 04:46:58
74,Ler,SS,8.3018,30.1418,76.95,80,74,2.15,broken clouds,2021-06-07 04:46:59
75,Saint George,US,37.1041,-113.5841,90.19,16,1,17.27,clear sky,2021-06-07 04:45:03
76,Amarante Do Maranhao,BR,-5.5667,-46.7422,72.01,73,56,1.86,broken clouds,2021-06-07 04:46:59
77,Geraldton,AU,-28.7667,114.6,66.61,55,100,16.42,overcast clouds,2021-06-07 04:46:59
78,Bredasdorp,ZA,-34.5322,20.0403,61.92,39,4,8.25,clear sky,2021-06-07 04:47:00
79,Lumphat,KH,13.4878,106.9816,84.0,81,100,4.07,moderate rain,2021-06-07 04:47:01
80,Rio Gallegos,AR,-51.6226,-69.2181,37.45,87,0,4.61,clear sky,2021-06-07 04:47:01
81,Victoria,HK,22.2855,114.1577,89.96,75,56,1.99,broken clouds,2021-06-07 04:47:02
82,Aban,RU,56.67,96.06,63.75,64,99,16.8,overcast clouds,2021-06-07 04:47:02
83,Villamar,MX,20.0167,-102.6,70.11,63,94,2.59,overcast clouds,2021-06-07 04:47:02
84,Bengkulu,ID,-3.8004,102.2655,83.79,66,62,5.3,broken clouds,2021-06-07 04:47:03
